Qubits, depth,Program var,Run Num,category,Approach,ms all,ms X,ms Z,ms Ry
2,7,var_q2_03,29,var,Random,60.0,33.33333333333333,0.0,88.88888888888889
3,4,var_q3_00,0,var,Random,73.33333333333333,66.66666666666666,66.66666666666666,77.77777777777779
3,4,var_q3_00,1,var,Random,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
3,4,var_q3_00,2,var,Random,80.0,0.0,100.0,100.0
3,4,var_q3_00,3,var,Random,66.66666666666666,33.33333333333333,66.66666666666666,77.77777777777779
3,4,var_q3_00,4,var,Random,80.0,33.33333333333333,100.0,88.88888888888889
3,4,var_q3_00,5,var,Random,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
3,4,var_q3_00,6,var,Random,40.0,33.33333333333333,0.0,55.55555555555556
3,4,var_q3_00,7,var,Random,80.0,33.33333333333333,66.66666666666666,100.0
3,4,var_q3_00,8,var,Random,73.33333333333333,0.0,66.66666666666666,100.0
3,4,var_q3_00,9,var,Random,66.66666666666666,0.0,66.66666666666666,88.88888888888889
3,4,var_q3_00,10,var,Random,46.666666666666664,0.0,33.33333333333333,66.66666666666666
3,4,var_q3_00,11,var,Random,66.66666666666666,0.0,66.66666666666666,88.88888888888889
3,4,var_q3_00,12,var,Random,66.66666666666666,0.0,100.0,77.77777777777779
3,4,var_q3_00,13,var,Random,66.66666666666666,0.0,100.0,77.77777777777779
3,4,var_q3_00,14,var,Random,80.0,33.33333333333333,66.66666666666666,100.0
3,4,var_q3_00,15,var,Random,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,4,var_q3_00,16,var,Random,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
3,4,var_q3_00,17,var,Random,53.333333333333336,33.33333333333333,33.33333333333333,66.66666666666666
3,4,var_q3_00,18,var,Random,60.0,66.66666666666666,33.33333333333333,66.66666666666666
3,4,var_q3_00,19,var,Random,66.66666666666666,33.33333333333333,66.66666666666666,77.77777777777779
3,4,var_q3_00,20,var,Random,86.66666666666667,66.66666666666666,100.0,88.88888888888889
3,4,var_q3_00,21,var,Random,80.0,66.66666666666666,66.66666666666666,88.88888888888889
3,4,var_q3_00,22,var,Random,53.333333333333336,0.0,33.33333333333333,77.77777777777779
3,4,var_q3_00,23,var,Random,60.0,66.66666666666666,33.33333333333333,66.66666666666666
